snapshot_id,account_id,customer_id,date_key,month_end_date,opening_balance,total_credits,total_debits,closing_balance,average_balance,is_low_balance_flag,month,year
33,33,35,20240930,2024-09-30,1140535.22,188329.78,503000.01,825864.99,983200.1,0,9,2024
34,34,5,20240930,2024-09-30,1175563.81,449113.31,126460.76,1498216.36,1336890.08,0,9,2024
35,35,54,20240930,2024-09-30,503547.03,486337.05,220644.42,769239.66,636393.34,0,9,2024
36,36,22,20240930,2024-09-30,811981.48,408618.38,421146.41,799453.45,805717.46,0,9,2024
37,37,26,20240930,2024-09-30,1585418.58,443585.97,13386.74,2015617.81,1800518.2,0,9,2024
38,38,58,20240930,2024-09-30,1764127.47,219949.35,456319.35,1527757.47,1645942.47,0,9,2024
39,39,2,20240930,2024-09-30,1029325.28,140404.75,175740.72,993989.31,1011657.3,0,9,2024
40,40,41,20240930,2024-09-30,315136.03,301010.14,503363.74,112782.43,213959.23,0,9,2024
41,41,46,20240930,2024-09-30,1322388.73,207306.84,505143.36,1024552.21,1173470.47,0,9,2024
42,42,20,20240930,2024-09-30,227120.73,337614.71,270520.23,294215.21,260667.97,0,9,2024
43,43,23,20240930,2024-09-30,1181786.4,323629.62,618574.25,886841.77,1034314.08,0,9,2024
44,44,30,20240930,2024-09-30,487718.78,63942.56,326775.3,224886.04,356302.41,0,9,2024
45,45,13,20240930,2024-09-30,269880.73,256321.41,468739.64,57462.5,163671.61,0,9,2024
46,46,15,20240930,2024-09-30,294156.77,83170.68,348064.53,29262.92,161709.85,0,9,2024
47,47,31,20240930,2024-09-30,1033523.06,202728.16,1198228.69,38022.53,535772.8,0,9,2024
48,48,3,20240930,2024-09-30,1275426.6,439254.49,1248243.79,466437.3,870931.95,0,9,2024
49,49,25,20240930,2024-09-30,1642695.97,473626.93,458381.61,1657941.29,1650318.63,0,9,2024
50,50,7,20240930,2024-09-30,1213248.53,235706.73,697915.96,751039.3,982143.92,0,9,2024
51,51,45,20240930,2024-09-30,439117.95,205383.43,91978.17,552523.21,495820.58,0,9,2024
52,52,51,20240930,2024-09-30,1165500.95,383745.06,965508.3,583737.71,874619.33,0,9,2024
53,53,11,20240930,2024-09-30,1021854.41,83860.85,758068.61,347646.65,684750.53,0,9,2024
54,54,18,20240930,2024-09-30,1844742.71,298266.68,147530.97,1995478.42,1920110.56,0,9,2024
55,55,16,20240930,2024-09-30,756733.6,66106.6,13628.4,809211.8,782972.7,0,9,2024
56,56,60,20240930,2024-09-30,1045661.33,454669.61,1026778.23,473552.71,759607.02,0,9,2024
57,57,48,20240930,2024-09-30,1653115.11,302755.51,347014.84,1608855.78,1630985.45,0,9,2024
58,58,56,20240930,2024-09-30,1803265.63,299906.9,1846065.24,257107.29,1030186.46,0,9,2024
59,59,43,20240930,2024-09-30,1063094.19,376191.58,134126.99,1305158.78,1184126.48,0,9,2024
60,60,52,20240930,2024-09-30,1318955.53,450992.38,954508.1,815439.81,1067197.67,0,9,2024
61,1,49,20241031,2024-10-31,2899.81,468867.42,320122.07,151645.16,77272.49,0,10,2024
62,2,55,20241031,2024-10-31,863277.9,210342.01,939228.79,134391.12,498834.51,0,10,2024
63,3,24,20241031,2024-10-31,1395436.79,214478.13,1510778.98,99135.94,747286.36,0,10,2024
64,4,57,20241031,2024-10-31,964505.83,384335.84,472793.03,876048.64,920277.23,0,10,2024
65,5,8,20241031,2024-10-31,1609339.77,453929.44,1727349.41,335919.8,972629.79,0,10,2024
66,6,34,20241031,2024-10-31,1152453.57,212744.7,347467.57,1017730.7,1085092.14,0,10,2024
67,7,44,20241031,2024-10-31,1531834.85,455042.68,166535.27,1820342.26,1676088.56,0,10,2024
68,8,37,20241031,2024-10-31,1196785.55,271865.51,378625.55,1090025.51,1143405.53,0,10,2024
69,9,42,20241031,2024-10-31,11436.17,371822.84,2726.54,380532.47,195984.32,0,10,2024
70,10,10,20241031,2024-10-31,1045319.99,259880.92,489489.34,815711.57,930515.78,0,10,2024
71,11,50,20241031,2024-10-31,411234.68,402143.58,332545.7,480832.56,446033.62,0,10,2024
72,12,40,20241031,2024-10-31,213613.14,213035.79,249747.56,176901.37,195257.26,0,10,2024
73,13,29,20241031,2024-10-31,522975.14,268052.45,446669.74,344357.85,433666.49,0,10,2024
74,14,12,20241031,2024-10-31,1223955.41,495899.34,683563.4,1036291.35,1130123.38,0,10,2024
75,15,47,20241031,2024-10-31,407785.48,276052.47,381282.52,302555.43,355170.45,0,10,2024
76,16,14,20241031,2024-10-31,357849.84,279546.91,308347.15,329049.6,343449.72,0,10,2024
77,17,32,20241031,2024-10-31,1977022.27,288825.58,1754206.91,511640.94,1244331.6,0,10,2024
78,18,39,20241031,2024-10-31,796560.44,69034.26,747727.13,117867.57,457214.01,0,10,2024
79,19,28,20241031,2024-10-31,238611.99,114885.65,276827.28,76670.36,157641.17,0,10,2024
80,20,19,20241031,2024-10-31,1898515.73,50139.31,990586.21,958068.83,1428292.28,0,10,2024
81,21,6,20241031,2024-10-31,1572269.21,400426.87,1211285.43,761410.65,1166839.93,0,10,2024
82,22,9,20241031,2024-10-31,1369286.61,26026.4,542921.43,852391.58,1110839.09,0,10,2024
83,23,4,20241031,2024-10-31,1271935.3,402184.68,1378228.42,295891.56,783913.43,0,10,2024
84,24,1,20241031,2024-10-31,943601.49,300122.72,109622.71,1134101.5,1038851.49,0,10,2024
85,25,53,20241031,2024-10-31,526552.45,185417.56,433610.28,278359.73,402456.09,0,10,2024
86,26,33,20241031,2024-10-31,1449127.18,465342.5,767022.43,1147447.25,1298287.21,0,10,2024
87,27,27,20241031,2024-10-31,1312522.37,143234.62,1402665.27,53091.72,682807.05,0,10,2024
88,28,36,20241031,2024-10-31,115397.34,386804.23,88021.44,414180.13,264788.73,0,10,2024
89,29,38,20241031,2024-10-31,988989.57,5355.2,845757.48,148587.29,568788.43,0,10,2024
90,30,17,20241031,2024-10-31,1861551.56,259076.64,412984.91,1707643.29,1784597.43,0,10,2024
91,31,21,20241031,2024-10-31,1568026.91,255273.93,1273483.98,549816.86,1058921.89,0,10,2024
92,32,59,20241031,2024-10-31,1230572.38,337012.19,563922.87,1003661.7,1117117.04,0,10,2024
93,33,35,20241031,2024-10-31,1310210.73,487822.95,156146.3,1641887.38,1476049.05,0,10,2024
94,34,5,20241031,2024-10-31,552235.77,199716.84,503554.12,248398.49,400317.13,0,10,2024
95,35,54,20241031,2024-10-31,811199.21,100155.19,14004.35,897350.05,854274.63,0,10,2024
96,36,22,20241031,2024-10-31,1407392.04,459588.71,1026078.9,840901.85,1124146.95,0,10,2024
97,37,26,20241031,2024-10-31,1452414.35,279556.93,1009622.2,722349.08,1087381.72,0,10,2024
98,38,58,20241031,2024-10-31,695276.44,407757.44,249611.62,853422.26,774349.35,0,10,2024
99,39,2,20241031,2024-10-31,1926132.75,227379.5,869925.21,1283587.04,1604859.9,0,10,2024
100,40,41,20241031,2024-10-31,9800.58,87517.39,49266.06,48051.91,28926.25,0,10,2024
101,41,46,20241031,2024-10-31,1117482.11,251584.58,465435.98,903630.71,1010556.41,0,10,2024
102,42,20,20241031,2024-10-31,234459.49,256643.34,126553.95,364548.88,299504.18,0,10,2024
103,43,23,20241031,2024-10-31,1076037.83,396694.63,368391.49,1104340.97,1090189.4,0,10,2024
104,44,30,20241031,2024-10-31,885815.9,188540.14,519590.7,554765.34,720290.62,0,10,2024
105,45,13,20241031,2024-10-31,486924.88,169830.38,509378.59,147376.67,317150.78,0,10,2024
106,46,15,20241031,2024-10-31,1363348.55,448261.91,1561650.39,249960.07,806654.31,0,10,2024
107,47,31,20241031,2024-10-31,964199.34,128909.88,418303.65,674805.57,819502.45,0,10,2024
108,48,3,20241031,2024-10-31,1577417.71,110191.16,1183311.01,504297.86,1040857.78,0,10,2024
109,49,25,20241031,2024-10-31,1600422.71,206212.99,637916.32,1168719.38,1384571.04,0,10,2024
110,50,7,20241031,2024-10-31,1071535.99,350409.28,374468.85,1047476.42,1059506.21,0,10,2024
111,51,45,20241031,2024-10-31,574935.52,199465.32,579862.16,194538.68,384737.1,0,10,2024
112,52,51,20241031,2024-10-31,684314.76,277275.75,171630.2,789960.31,737137.54,0,10,2024
113,53,11,20241031,2024-10-31,628088.62,109283.07,423039.44,314332.25,471210.43,0,10,2024
114,54,18,20241031,2024-10-31,365977.51,373078.13,687510.4,51545.24,208761.38,0,10,2024
115,55,16,20241031,2024-10-31,380739.91,368556.12,175980.69,573315.34,477027.62,0,10,2024
116,56,60,20241031,2024-10-31,484492.01,132702.69,141465.67,475729.03,480110.52,0,10,2024
117,57,48,20241031,2024-10-31,1669963.49,418167.35,743431.74,1344699.1,1507331.29,0,10,2024
118,58,56,20241031,2024-10-31,1557987.49,59939.25,126987.14,1490939.6,1524463.54,0,10,2024
119,59,43,20241031,2024-10-31,1911581.48,246332.43,14293.32,2143620.59,2027601.03,0,10,2024
120,60,52,20241031,2024-10-31,1714250.13,478996.55,1859896.42,333350.26,1023800.19,0,10,2024
121,1,49,20241130,2024-11-30,742707.47,157708.45,808682.63,91733.29,417220.38,0,11,2024
122,2,55,20241130,2024-11-30,1762034.0,287259.69,563008.67,1486285.02,1624159.51,0,11,2024
123,3,24,20241130,2024-11-30,366152.29,382131.16,382472.84,365810.61,365981.45,0,11,2024
124,4,57,20241130,2024-11-30,796060.06,375084.69,150194.57,1020950.18,908505.12,0,11,2024
125,5,8,20241130,2024-11-30,1051708.02,211587.93,1187061.62,76234.33,563971.18,0,11,2024
126,6,34,20241130,2024-11-30,65609.01,173644.48,205853.73,33399.76,49504.38,0,11,2024
127,7,44,20241130,2024-11-30,1551919.98,228598.02,214317.71,1566200.29,1559060.14,0,11,2024
128,8,37,20241130,2024-11-30,1036651.18,157825.63,10055.83,1184420.98,1110536.08,0,11,2024
129,9,42,20241130,2024-11-30,1348369.07,189714.0,154958.53,1383124.54,1365746.81,0,11,2024
130,10,10,20241130,2024-11-30,723523.85,430921.01,216057.17,938387.69,830955.77,0,11,2024
131,11,50,20241130,2024-11-30,526066.64,134704.11,633366.48,27404.27,276735.46,0,11,2024
132,12,40,20241130,2024-11-30,686521.37,91956.84,330030.29,448447.92,567484.65,0,11,2024
133,13,29,20241130,2024-11-30,838476.34,376097.88,443414.31,771159.91,804818.12,0,11,2024
134,14,12,20241130,2024-11-30,801484.9,225364.5,586751.73,440097.67,620791.29,0,11,2024
135,15,47,20241130,2024-11-30,1958555.27,343005.96,1873909.67,427651.56,1193103.42,0,11,2024
136,16,14,20241130,2024-11-30,1441770.51,402043.79,1023943.92,819870.38,1130820.45,0,11,2024
137,17,32,20241130,2024-11-30,1712689.32,98031.61,1448644.57,362076.36,1037382.84,0,11,2024
138,18,39,20241130,2024-11-30,1477214.76,236493.51,16695.44,1697012.83,1587113.79,0,11,2024
139,19,28,20241130,2024-11-30,843330.58,67235.84,813382.04,97184.38,470257.48,0,11,2024
140,20,19,20241130,2024-11-30,1261488.64,266991.29,482582.76,1045897.17,1153692.91,0,11,2024
141,21,6,20241130,2024-11-30,973497.08,125487.02,943480.03,155504.07,564500.57,0,11,2024
142,22,9,20241130,2024-11-30,95894.75,49487.4,23746.99,121635.16,108764.96,0,11,2024
143,23,4,20241130,2024-11-30,431326.92,127144.84,468542.01,89929.75,260628.33,0,11,2024
144,24,1,20241130,2024-11-30,193055.62,372296.61,146861.05,418491.18,305773.4,0,11,2024
145,25,53,20241130,2024-11-30,720933.01,278745.74,809755.66,189923.09,455428.05,0,11,2024
146,26,33,20241130,2024-11-30,688608.48,205880.45,314046.56,580442.37,634525.43,0,11,2024
147,27,27,20241130,2024-11-30,1359331.91,302788.02,958800.13,703319.8,1031325.85,0,11,2024
148,28,36,20241130,2024-11-30,1299906.03,269219.13,1536759.02,32366.14,666136.08,0,11,2024
149,29,38,20241130,2024-11-30,569575.16,162545.14,373706.8,358413.5,463994.33,0,11,2024
150,30,17,20241130,2024-11-30,1549601.36,223465.06,139021.74,1634044.68,1591823.02,0,11,2024
151,31,21,20241130,2024-11-30,1227520.71,231876.04,1396050.8,63345.95,645433.33,0,11,2024
152,32,59,20241130,2024-11-30,1736581.17,320290.33,1909942.31,146929.19,941755.18,0,11,2024
153,33,35,20241130,2024-11-30,843922.07,306155.07,465519.85,684557.29,764239.68,0,11,2024
154,34,5,20241130,2024-11-30,1814192.57,39555.96,636995.24,1216753.29,1515472.93,0,11,2024
155,35,54,20241130,2024-11-30,627307.39,326506.55,677621.36,276192.58,451749.98,0,11,2024
156,36,22,20241130,2024-11-30,1210967.25,197727.66,1250486.93,158207.98,684587.61,0,11,2024
157,37,26,20241130,2024-11-30,1562057.59,469384.92,1519306.71,512135.8,1037096.7,0,11,2024
158,38,58,20241130,2024-11-30,1042110.92,225144.33,212034.75,1055220.5,1048665.71,0,11,2024
159,39,2,20241130,2024-11-30,1708496.58,62519.96,415528.64,1355487.9,1531992.24,0,11,2024
160,40,41,20241130,2024-11-30,503668.2,371937.67,656476.51,219129.36,361398.78,0,11,2024
161,41,46,20241130,2024-11-30,421537.7,198522.79,59249.09,560811.4,491174.55,0,11,2024
162,42,20,20241130,2024-11-30,1873618.93,236592.9,113583.08,1996628.75,1935123.84,0,11,2024
163,43,23,20241130,2024-11-30,1541981.94,261991.4,1796782.22,7191.12,774586.53,0,11,2024
164,44,30,20241130,2024-11-30,208304.84,309051.09,43618.93,473737.0,341020.92,0,11,2024
165,45,13,20241130,2024-11-30,1863213.37,194923.1,472045.86,1586090.61,1724651.99,0,11,2024
166,46,15,20241130,2024-11-30,1475317.66,221580.21,214507.76,1482390.11,1478853.89,0,11,2024
167,47,31,20241130,2024-11-30,1053721.3,85303.99,40042.41,1098982.88,1076352.09,0,11,2024
168,48,3,20241130,2024-11-30,714004.06,457636.19,1012579.71,159060.54,436532.3,0,11,2024
169,49,25,20241130,2024-11-30,934653.36,435449.14,1280850.7,89251.8,511952.58,0,11,2024
170,50,7,20241130,2024-11-30,1097316.28,67557.45,1104866.58,60007.15,578661.71,0,11,2024
171,51,45,20241130,2024-11-30,1078805.49,295415.46,627391.53,746829.42,912817.46,0,11,2024
172,52,51,20241130,2024-11-30,1497948.75,438646.86,842375.27,1094220.34,1296084.54,0,11,2024
173,53,11,20241130,2024-11-30,1279753.12,266892.07,1405781.62,140863.57,710308.35,0,11,2024
174,54,18,20241130,2024-11-30,963562.54,113564.22,96461.03,980665.73,972114.14,0,11,2024
175,55,16,20241130,2024-11-30,616082.44,206101.9,128028.52,694155.82,655119.13,0,11,2024
176,56,60,20241130,2024-11-30,21606.36,261658.12,214797.6,68466.88,45036.62,0,11,2024
177,57,48,20241130,2024-11-30,273032.76,143381.12,222822.6,193591.28,233312.02,0,11,2024
178,58,56,20241130,2024-11-30,1375696.04,245965.83,1225121.27,396540.6,886118.32,0,11,2024
179,59,43,20241130,2024-11-30,599571.23,382934.6,784005.04,198500.79,399036.01,0,11,2024
180,60,52,20241130,2024-11-30,1194209.0,398383.69,873078.74,719513.95,956861.47,0,11,2024
181,1,49,20241231,2024-12-31,377547.67,441081.03,357827.82,460800.88,419174.28,0,12,2024
182,2,55,20241231,2024-12-31,500167.29,357468.99,554025.15,303611.13,401889.21,0,12,2024
183,3,24,20241231,2024-12-31,1656939.5,110296.21,139982.27,1627253.44,1642096.47,0,12,2024
184,4,57,20241231,2024-12-31,1250833.37,258305.03,1207248.95,301889.45,776361.41,0,12,2024
185,5,8,20241231,2024-12-31,1226625.83,346962.28,427803.72,1145784.39,1186205.11,0,12,2024
186,6,34,20241231,2024-12-31,1297089.85,265972.13,420185.49,1142876.49,1219983.17,0,12,2024
187,7,44,20241231,2024-12-31,376407.25,34231.98,56103.19,354536.04,365471.65,0,12,2024
188,8,37,20241231,2024-12-31,221157.52,227671.51,203215.08,245613.95,233385.73,0,12,2024
189,9,42,20241231,2024-12-31,1401094.96,245998.01,528130.02,1118962.95,1260028.96,0,12,2024
190,10,10,20241231,2024-12-31,304722.54,484858.11,17474.12,772106.53,538414.54,0,12,2024
191,11,50,20241231,2024-12-31,1944679.04,141057.27,260798.81,1824937.5,1884808.27,0,12,2024
192,12,40,20241231,2024-12-31,877114.06,4102.04,79483.03,801733.07,839423.56,0,12,2024
193,13,29,20241231,2024-12-31,29942.33,108594.04,58218.94,80317.43,55129.88,0,12,2024
194,14,12,20241231,2024-12-31,1571557.81,249197.88,676223.35,1144532.34,1358045.08,0,12,2024
195,15,47,20241231,2024-12-31,1394021.14,15868.56,113105.72,1296783.98,1345402.56,0,12,2024
196,16,14,20241231,2024-12-31,1501263.88,73043.91,419558.66,1154749.13,1328006.5,0,12,2024
197,17,32,20241231,2024-12-31,785147.34,271595.98,191908.54,864834.78,824991.06,0,12,2024
198,18,39,20241231,2024-12-31,1791450.11,125039.73,731289.23,1185200.61,1488325.36,0,12,2024
199,19,28,20241231,2024-12-31,25724.67,487299.25,366649.23,146374.69,86049.68,0,12,2024
200,20,19,20241231,2024-12-31,769903.4,487486.11,310779.15,946610.36,858256.88,0,12,2024
201,21,6,20241231,2024-12-31,1989073.55,99589.94,1535841.84,552821.65,1270947.6,0,12,2024
202,22,9,20241231,2024-12-31,188373.63,333003.94,108679.66,412697.91,300535.77,0,12,2024
203,23,4,20241231,2024-12-31,778551.36,480606.95,1178843.21,80315.1,429433.23,0,12,2024
204,24,1,20241231,2024-12-31,317643.57,364118.54,507725.0,174037.11,245840.34,0,12,2024
205,25,53,20241231,2024-12-31,1099385.1,61070.76,558445.7,602010.16,850697.63,0,12,2024
206,26,33,20241231,2024-12-31,597976.76,180213.33,40533.99,737656.1,667816.43,0,12,2024
207,27,27,20241231,2024-12-31,1333556.22,486637.03,429503.43,1390689.82,1362123.02,0,12,2024
208,28,36,20241231,2024-12-31,868606.22,7533.85,695997.26,180142.81,524374.52,0,12,2024
209,29,38,20241231,2024-12-31,1169601.37,197904.15,332426.01,1035079.51,1102340.44,0,12,2024
210,30,17,20241231,2024-12-31,1937685.44,290538.51,1539148.85,689075.1,1313380.27,0,12,2024
211,31,21,20241231,2024-12-31,1376968.87,77495.97,1121097.14,333367.7,855168.29,0,12,2024
212,32,59,20241231,2024-12-31,497820.15,249959.6,512935.51,234844.24,366332.2,0,12,2024
213,33,35,20241231,2024-12-31,677174.98,484825.85,882609.54,279391.29,478283.14,0,12,2024
214,34,5,20241231,2024-12-31,120574.65,177758.84,45919.02,252414.47,186494.56,0,12,2024
215,35,54,20241231,2024-12-31,1072938.47,53695.83,549620.52,577013.78,824976.12,0,12,2024
216,36,22,20241231,2024-12-31,633820.75,279175.22,588559.18,324436.79,479128.77,0,12,2024
217,37,26,20241231,2024-12-31,694961.82,445897.98,836465.66,304394.14,499677.98,0,12,2024
218,38,58,20241231,2024-12-31,43194.99,188884.47,168118.17,63961.29,53578.14,0,12,2024
219,39,2,20241231,2024-12-31,501767.13,19744.27,368513.5,152997.9,327382.52,0,12,2024
220,40,41,20241231,2024-12-31,1118270.07,271367.04,681050.02,708587.09,913428.58,0,12,2024
221,41,46,20241231,2024-12-31,1133620.12,271810.27,454910.94,950519.45,1042069.79,0,12,2024
222,42,20,20241231,2024-12-31,937055.24,433830.92,820722.05,550164.11,743609.68,0,12,2024
223,43,23,20241231,2024-12-31,1721191.44,80171.7,956771.39,844591.75,1282891.59,0,12,2024
224,44,30,20241231,2024-12-31,899043.71,409709.28,708828.41,599924.58,749484.15,0,12,2024
225,45,13,20241231,2024-12-31,908430.92,387958.95,655918.48,640471.39,774451.16,0,12,2024
226,46,15,20241231,2024-12-31,1467448.65,441466.19,1183020.59,725894.25,1096671.45,0,12,2024
227,47,31,20241231,2024-12-31,728468.36,310098.66,333062.31,705504.71,716986.53,0,12,2024
228,48,3,20241231,2024-12-31,127151.84,483581.58,500221.05,110512.37,118832.1,0,12,2024
229,49,25,20241231,2024-12-31,380143.97,341612.09,552673.22,169082.84,274613.4,0,12,2024
230,50,7,20241231,2024-12-31,308685.96,141564.54,184514.69,265735.81,287210.89,0,12,2024
231,51,45,20241231,2024-12-31,644387.1,48128.15,456292.09,236223.16,440305.13,0,12,2024
232,52,51,20241231,2024-12-31,88032.64,468899.77,99489.74,457442.67,272737.65,0,12,2024
233,53,11,20241231,2024-12-31,63031.87,53527.58,22334.73,94224.72,78628.29,0,12,2024
234,54,18,20241231,2024-12-31,64118.39,320875.83,149608.3,235385.92,149752.15,0,12,2024
235,55,16,20241231,2024-12-31,980074.32,311985.24,762703.94,529355.62,754714.97,0,12,2024
236,56,60,20241231,2024-12-31,98646.71,110361.39,150035.46,58972.64,78809.68,0,12,2024
237,57,48,20241231,2024-12-31,26665.68,460517.6,319470.12,167713.16,97189.42,0,12,2024
238,58,56,20241231,2024-12-31,1856843.24,416038.85,1063843.24,1209038.85,1532941.04,0,12,2024
239,59,43,20241231,2024-12-31,1278013.97,180463.03,1084344.75,374132.25,826073.11,0,12,2024
240,60,52,20241231,2024-12-31,1780916.0,411013.26,1740938.89,450990.37,1115953.19,0,12,2024
