transaction_id,transaction_ref,transaction_date,date_key,account_id,customer_id,transaction_type_id,channel_id,debit_credit_indicator,amount,fee_charged,gross_amount,transaction_status,balance_after_transaction,remarks,processing_attempt
23,TXN0000023,2023-03-22,20230322,44,30,3,1,Debit,3086.51,3.6,3090.11,Completed,1276171.36,Utility bill,2
24,TXN0000024,2024-04-21,20240421,43,23,1,6,Debit,4515.93,3.12,4519.05,Completed,1278238.47,Groceries,3
25,TXN0000025,2023-07-23,20230723,17,32,8,6,Credit,4996.93,0.0,4996.93,Completed,592448.91,Merchant txn,1
26,TXN0000026,2024-08-02,20240802,54,18,7,2,Debit,488121.27,0.0,488121.27,Completed,1665844.96,Merchant txn,1
27,TXN0000027,2023-07-14,20230714,39,2,6,1,Debit,35499.4,0.0,35499.4,Completed,1256867.96,Online transfer,2
28,TXN0000028,2024-01-09,20240109,51,45,8,1,Credit,9056.0,0.0,9056.0,Completed,265187.44,Insurance premium,2
29,TXN0000029,2023-06-18,20230618,34,5,9,6,Credit,42111.04,0.0,42111.04,Completed,678091.79,Bill payment,2
30,TXN0000030,2023-08-20,20230820,5,8,3,5,Debit,490974.01,790.06,491764.07,Completed,1581573.26,Online transfer,2
31,TXN0000031,2024-11-19,20241119,35,54,2,3,Debit,3770.16,2.8,3772.96,Completed,943482.26,Mutual fund SIP,3
32,TXN0000032,2023-03-06,20230306,21,6,10,1,Debit,3213.48,0.0,3213.48,Completed,91648.28,Online transfer,2
33,TXN0000033,2024-07-04,20240704,32,59,2,1,Debit,25413.97,48.08,25462.050000000003,Completed,1484795.76,Salary,2
34,TXN0000034,2024-09-22,20240922,42,20,2,6,Debit,2099.77,1.86,2101.63,Failed,1711044.94,Bill payment,3
35,TXN0000035,2024-10-22,20241022,24,1,9,6,Credit,1857.5,0.0,1857.5,Completed,909980.02,EMI payment,3
36,TXN0000036,2023-02-21,20230221,41,46,10,6,Debit,3955.29,0.0,3955.29,Completed,1530549.59,EMI payment,3
37,TXN0000037,2023-06-01,20230601,14,12,4,2,Debit,174773.68,0.0,174773.68,Pending,1080890.7,Salary,1
38,TXN0000038,2024-01-02,20240102,43,23,1,1,Debit,3970.92,0.42,3971.34,Completed,1052644.97,Bill payment,2
39,TXN0000039,2023-04-22,20230422,29,38,6,3,Debit,14969.74,0.0,14969.74,Completed,1318147.24,Merchant txn,2
40,TXN0000040,2024-05-05,20240505,42,20,1,1,Debit,24182.31,21.45,24203.760000000002,Completed,644901.53,Salary,1
41,TXN0000041,2024-08-22,20240822,9,42,5,3,Debit,2786.95,0.0,2786.95,Completed,1211248.16,Bill payment,3
42,TXN0000042,2023-08-09,20230809,8,37,9,4,Credit,44964.1,0.0,44964.1,Completed,1459495.4,ATM cash,2
43,TXN0000043,2023-06-06,20230606,21,6,5,2,Debit,3465.42,0.0,3465.42,Completed,1489433.35,ATM cash,1
44,TXN0000044,2024-07-29,20240729,36,22,1,3,Debit,35150.6,66.16,35216.76,Completed,1831771.5,Online transfer,2
45,TXN0000045,2024-08-14,20240814,39,2,5,2,Debit,11962.86,0.0,11962.86,Completed,1112974.69,Bill payment,2
46,TXN0000046,2024-07-28,20240728,37,26,4,6,Debit,4875.28,0.0,4875.28,Completed,1858239.5,Merchant txn,1
47,TXN0000047,2023-11-13,20231113,12,40,5,4,Debit,4615.53,0.0,4615.53,Completed,140101.26,Online transfer,1
48,TXN0000048,2024-03-05,20240305,48,3,9,1,Credit,2322.86,0.0,2322.86,Completed,1192851.32,Online transfer,1
49,TXN0000049,2023-03-25,20230325,11,50,10,1,Debit,1433.3,0.0,1433.3,Completed,1510131.34,Bill payment,2
50,TXN0000050,2024-11-25,20241125,28,36,2,2,Debit,3006.36,5.92,3012.28,Completed,409641.83,EMI payment,1
51,TXN0000051,2023-05-03,20230503,49,25,5,2,Debit,137.88,0.0,137.88,Completed,1001024.43,ATM cash,1
52,TXN0000052,2024-04-15,20240415,26,33,1,2,Debit,4613.7,6.55,4620.25,Completed,231231.57,Online transfer,2
53,TXN0000053,2024-12-07,20241207,11,50,10,3,Debit,4606.87,0.0,4606.87,Completed,1048401.12,Groceries,2
54,TXN0000054,2023-06-22,20230622,48,3,6,1,Debit,474.26,0.0,474.26,Completed,702848.37,Salary,1
55,TXN0000055,2023-06-27,20230627,7,44,3,2,Debit,3051.76,4.72,3056.48,Completed,1509137.2,Mutual fund SIP,2
56,TXN0000056,2024-10-01,20241001,44,30,10,3,Debit,1683.72,0.0,1683.72,Completed,1263138.85,Merchant txn,3
57,TXN0000057,2023-11-14,20231114,4,57,6,3,Debit,2362.54,0.0,2362.54,Completed,1954759.7,Bill payment,3
58,TXN0000058,2024-08-17,20240817,39,2,9,2,Credit,2816.15,0.0,2816.15,Completed,1304023.07,ATM cash,3
59,TXN0000059,2023-03-05,20230305,31,21,9,1,Credit,426819.73,0.0,426819.73,Completed,1292608.06,Online transfer,1
60,TXN0000060,2024-06-20,20240620,46,15,8,6,Credit,2661.47,0.0,2661.47,Completed,677395.93,Mutual fund SIP,1
61,TXN0000061,2023-04-07,20230407,51,45,6,1,Debit,22395.39,0.0,22395.39,Failed,1205798.93,Salary,2
62,TXN0000062,2023-12-25,20231225,6,34,10,4,Debit,1620.14,0.0,1620.14,Completed,170353.3,Insurance premium,2
63,TXN0000063,2024-11-17,20241117,42,20,6,6,Debit,498723.85,0.0,498723.85,Completed,1341241.62,Insurance premium,2
64,TXN0000064,2023-08-08,20230808,2,55,6,2,Debit,136402.36,0.0,136402.36,Completed,592288.41,Bill payment,3
65,TXN0000065,2024-06-23,20240623,50,7,9,6,Credit,284.96,0.0,284.96,Completed,325332.18,Mutual fund SIP,1
66,TXN0000066,2024-01-09,20240109,47,31,8,1,Credit,3414.18,0.0,3414.18,Completed,898407.0,Insurance premium,1
67,TXN0000067,2023-07-18,20230718,20,19,8,6,Credit,1902.42,0.0,1902.42,Completed,764363.0,Insurance premium,2
68,TXN0000068,2023-05-22,20230522,11,50,4,6,Debit,4377.71,0.0,4377.71,Completed,1423090.55,Insurance premium,1
69,TXN0000069,2023-10-07,20231007,19,28,2,5,Debit,2301.66,4.19,2305.85,Completed,1769374.92,Online transfer,2
70,TXN0000070,2023-08-30,20230830,4,57,7,3,Debit,1992.21,0.0,1992.21,Completed,1429693.84,ATM cash,1
71,TXN0000071,2024-04-28,20240428,9,42,1,2,Debit,3510.75,0.04,3510.79,Completed,512591.93,Salary,3
72,TXN0000072,2023-04-24,20230424,47,31,10,3,Debit,3903.25,0.0,3903.25,Completed,1245998.33,Bill payment,1
73,TXN0000073,2023-01-17,20230117,54,18,8,3,Credit,3196.58,0.0,3196.58,Completed,706279.26,Mutual fund SIP,2
74,TXN0000074,2024-01-05,20240105,12,40,2,3,Debit,278297.46,308.44,278605.9,Completed,940800.02,Groceries,2
75,TXN0000075,2023-03-11,20230311,17,32,1,2,Debit,37982.35,55.85,38038.2,Completed,89627.04,Insurance premium,2
76,TXN0000076,2024-12-02,20241202,53,11,3,6,Debit,36292.52,4.58,36297.1,Completed,915901.48,Merchant txn,1
77,TXN0000077,2023-11-20,20231120,3,24,4,6,Debit,4673.52,0.0,4673.52,Completed,1506828.55,EMI payment,2
78,TXN0000078,2023-12-06,20231206,23,4,1,6,Debit,1438.76,1.27,1440.03,Failed,678734.22,Salary,2
79,TXN0000079,2024-06-15,20240615,45,13,8,2,Credit,1406.93,0.0,1406.93,Pending,361732.52,Merchant txn,2
80,TXN0000080,2023-10-30,20231030,7,44,2,2,Debit,32117.97,22.58,32140.550000000003,Completed,1740204.31,ATM cash,3
81,TXN0000081,2023-02-28,20230228,28,36,5,3,Debit,33688.06,0.0,33688.06,Completed,1905626.0,Salary,3
82,TXN0000082,2023-03-10,20230310,44,30,8,1,Credit,212967.76,0.0,212967.76,Completed,307722.89,Utility bill,2
83,TXN0000083,2024-08-10,20240810,24,1,8,5,Credit,774.71,0.0,774.71,Failed,52800.77,Salary,2
84,TXN0000084,2023-05-01,20230501,34,5,7,6,Debit,250822.9,0.0,250822.9,Completed,1833041.34,Utility bill,1
85,TXN0000085,2024-04-07,20240407,8,37,3,6,Debit,37101.65,71.8,37173.450000000004,Pending,1336011.74,Bill payment,3
86,TXN0000086,2023-06-11,20230611,35,54,5,6,Debit,46729.6,0.0,46729.6,Completed,243603.55,EMI payment,1
87,TXN0000087,2024-07-21,20240721,16,14,8,1,Credit,2904.16,0.0,2904.16,Completed,132430.46,Groceries,3
88,TXN0000088,2024-02-24,20240224,47,31,8,3,Credit,4134.36,0.0,4134.36,Completed,1360537.87,ATM cash,1
89,TXN0000089,2023-07-06,20230706,57,48,9,3,Credit,10806.48,0.0,10806.48,Completed,1036686.16,Merchant txn,1
90,TXN0000090,2023-08-19,20230819,11,50,6,6,Debit,47340.68,0.0,47340.68,Completed,1270479.13,Insurance premium,2
91,TXN0000091,2023-04-06,20230406,9,42,5,3,Debit,2562.61,0.0,2562.61,Completed,1441544.9,Mutual fund SIP,2
92,TXN0000092,2023-01-30,20230130,54,18,10,1,Debit,497.99,0.0,497.99,Completed,1144702.27,Mutual fund SIP,3
93,TXN0000093,2024-07-12,20240712,2,55,8,6,Credit,48049.26,0.0,48049.26,Completed,595570.31,Bill payment,3
94,TXN0000094,2024-05-10,20240510,4,57,3,2,Debit,20308.67,12.97,20321.64,Pending,691395.75,Groceries,1
95,TXN0000095,2023-04-19,20230419,49,25,6,3,Debit,1663.67,0.0,1663.67,Completed,581133.8,Groceries,3
96,TXN0000096,2023-06-13,20230613,27,27,4,6,Debit,4086.04,0.0,4086.04,Completed,1991942.85,Utility bill,2
97,TXN0000097,2023-04-03,20230403,57,48,5,3,Debit,4731.64,0.0,4731.64,Completed,102030.27,Utility bill,3
98,TXN0000098,2023-01-09,20230109,57,48,8,2,Credit,24391.75,0.0,24391.75,Completed,732508.77,Groceries,1
99,TXN0000099,2024-07-20,20240720,37,26,9,1,Credit,1514.15,0.0,1514.15,Completed,1246859.92,Mutual fund SIP,1
100,TXN0000100,2023-12-14,20231214,9,42,2,2,Debit,2833.38,2.27,2835.65,Completed,78789.02,ATM cash,2
101,TXN0000101,2024-06-11,20240611,34,5,8,1,Credit,784.93,0.0,784.93,Completed,1685361.25,Mutual fund SIP,2
102,TXN0000102,2024-12-26,20241226,33,35,9,3,Credit,2858.33,0.0,2858.33,Completed,833664.0,Merchant txn,3
103,TXN0000103,2023-09-29,20230929,56,60,1,3,Debit,4838.65,6.98,4845.629999999999,Completed,341853.61,Mutual fund SIP,2
104,TXN0000104,2024-12-18,20241218,10,10,4,1,Debit,638.49,0.0,638.49,Completed,821344.44,Mutual fund SIP,2
105,TXN0000105,2024-06-15,20240615,56,60,1,4,Debit,1115.97,0.7,1116.67,Completed,1824336.2,ATM cash,3
106,TXN0000106,2023-07-16,20230716,23,4,5,3,Debit,184324.62,0.0,184324.62,Pending,1542577.36,EMI payment,3
107,TXN0000107,2023-12-24,20231224,46,15,8,2,Credit,2846.39,0.0,2846.39,Completed,1086838.56,Groceries,2
108,TXN0000108,2023-10-22,20231022,50,7,3,2,Debit,8556.32,12.79,8569.11,Completed,1656075.46,Merchant txn,3
109,TXN0000109,2024-09-22,20240922,45,13,5,1,Debit,72844.44,0.0,72844.44,Completed,466440.28,Bill payment,2
110,TXN0000110,2023-05-21,20230521,22,9,8,1,Credit,125.39,0.0,125.39,Completed,1756920.84,Utility bill,3
111,TXN0000111,2024-10-23,20241023,13,29,5,2,Debit,389.9,0.0,389.9,Completed,1700815.87,Online transfer,1
112,TXN0000112,2023-02-07,20230207,27,27,3,6,Debit,272922.75,525.18,273447.93,Completed,1753609.59,Online transfer,2
113,TXN0000113,2023-12-10,20231210,37,26,10,1,Debit,1494.35,0.0,1494.35,Completed,1702268.42,Utility bill,2
114,TXN0000114,2024-04-14,20240414,13,29,2,2,Debit,3276.6,1.93,3278.5299999999997,Completed,387129.41,Mutual fund SIP,3
115,TXN0000115,2024-06-11,20240611,58,56,7,6,Debit,92923.3,0.0,92923.3,Completed,1871714.95,Online transfer,2
116,TXN0000116,2023-10-01,20231001,25,53,4,2,Debit,4774.77,0.0,4774.77,Completed,1385844.41,Online transfer,3
117,TXN0000117,2024-02-20,20240220,8,37,8,2,Credit,46539.77,0.0,46539.77,Completed,1277783.94,Merchant txn,2
118,TXN0000118,2023-05-17,20230517,40,41,4,1,Debit,2443.09,0.0,2443.09,Completed,1825680.98,Insurance premium,3
119,TXN0000119,2024-11-27,20241127,53,11,4,5,Debit,3798.22,0.0,3798.22,Completed,157127.34,Mutual fund SIP,1
120,TXN0000120,2023-07-27,20230727,4,57,9,6,Credit,2906.24,0.0,2906.24,Completed,411597.57,Mutual fund SIP,2
121,TXN0000121,2023-02-26,20230226,6,34,9,2,Credit,2321.82,0.0,2321.82,Completed,1614023.79,Online transfer,2
122,TXN0000122,2024-08-15,20240815,17,32,1,4,Debit,457.84,0.06,457.9,Completed,1972288.36,Utility bill,1
123,TXN0000123,2023-05-19,20230519,19,28,7,1,Debit,3852.56,0.0,3852.56,Pending,765576.76,Groceries,2
124,TXN0000124,2023-12-23,20231223,6,34,9,1,Credit,681.3,0.0,681.3,Failed,1669808.4,Online transfer,2
125,TXN0000125,2024-01-24,20240124,30,17,9,2,Credit,4134.47,0.0,4134.47,Completed,1450322.87,Bill payment,1
126,TXN0000126,2023-01-17,20230117,52,51,7,3,Debit,1279.26,0.0,1279.26,Completed,1744552.62,EMI payment,3
127,TXN0000127,2024-07-06,20240706,3,24,7,2,Debit,1164.62,0.0,1164.62,Completed,1631756.73,Mutual fund SIP,2
128,TXN0000128,2023-11-25,20231125,37,26,10,5,Debit,1260.83,0.0,1260.83,Completed,551032.69,Insurance premium,3
129,TXN0000129,2024-03-13,20240313,57,48,3,3,Debit,2823.67,2.15,2825.82,Completed,1392920.51,Groceries,1
130,TXN0000130,2024-07-04,20240704,20,19,7,1,Debit,43220.34,0.0,43220.34,Completed,1829567.61,Insurance premium,2
131,TXN0000131,2024-02-02,20240202,27,27,9,3,Credit,341017.63,0.0,341017.63,Completed,185835.53,EMI payment,1
132,TXN0000132,2024-09-09,20240909,18,39,7,4,Debit,293.78,0.0,293.78,Completed,434816.03,EMI payment,2
133,TXN0000133,2023-07-14,20230714,20,19,1,1,Debit,4814.18,2.34,4816.52,Completed,409821.77,EMI payment,3
134,TXN0000134,2024-06-30,20240630,21,6,5,2,Debit,18879.0,0.0,18879.0,Completed,1605830.43,Utility bill,2
135,TXN0000135,2024-02-28,20240228,59,43,4,2,Debit,324.01,0.0,324.01,Completed,1168479.77,Groceries,2
136,TXN0000136,2024-01-24,20240124,10,10,4,2,Debit,297789.14,0.0,297789.14,Completed,1526957.89,Utility bill,3
137,TXN0000137,2023-12-27,20231227,42,20,8,3,Credit,269742.34,0.0,269742.34,Completed,1283977.12,Online transfer,3
138,TXN0000138,2024-11-15,20241115,3,24,2,6,Debit,337.72,0.05,337.77000000000004,Completed,438220.63,Utility bill,2
139,TXN0000139,2024-09-23,20240923,4,57,10,3,Debit,4572.48,0.0,4572.48,Completed,34435.57,Merchant txn,3
140,TXN0000140,2024-12-15,20241215,19,28,1,3,Debit,3402.76,0.66,3403.42,Completed,384672.18,Insurance premium,2
141,TXN0000141,2024-02-11,20240211,53,11,6,2,Debit,487.19,0.0,487.19,Completed,600649.31,Bill payment,3
142,TXN0000142,2024-01-24,20240124,55,16,1,1,Debit,26420.23,4.37,26424.6,Completed,1290169.58,ATM cash,3
143,TXN0000143,2023-02-13,20230213,55,16,2,6,Debit,1225.86,0.66,1226.52,Completed,1369173.06,Merchant txn,3
144,TXN0000144,2023-11-19,20231119,37,26,1,1,Debit,14322.12,23.51,14345.630000000001,Completed,599254.5,Mutual fund SIP,1
145,TXN0000145,2024-07-07,20240707,37,26,7,4,Debit,112977.77,0.0,112977.77,Completed,1002084.91,ATM cash,1
146,TXN0000146,2023-03-19,20230319,7,44,7,1,Debit,1768.9,0.0,1768.9,Completed,60221.69,Merchant txn,2
147,TXN0000147,2024-01-20,20240120,32,59,4,2,Debit,2216.05,0.0,2216.05,Completed,1596312.29,Bill payment,1
148,TXN0000148,2024-10-11,20241011,18,39,3,2,Debit,855.96,1.61,857.57,Completed,1522931.64,Bill payment,1
149,TXN0000149,2024-07-24,20240724,6,34,3,2,Debit,2818.23,0.52,2818.75,Completed,649536.23,Groceries,1
150,TXN0000150,2023-03-28,20230328,19,28,7,2,Debit,3651.73,0.0,3651.73,Completed,1370946.67,Salary,1
151,TXN0000151,2023-05-30,20230530,18,39,5,2,Debit,410.01,0.0,410.01,Completed,504147.78,EMI payment,3
152,TXN0000152,2023-07-20,20230720,41,46,8,3,Credit,2343.52,0.0,2343.52,Completed,760400.02,ATM cash,2
153,TXN0000153,2024-10-28,20241028,22,9,7,6,Debit,194299.32,0.0,194299.32,Completed,629052.38,Groceries,2
154,TXN0000154,2023-09-06,20230906,19,28,8,6,Credit,1696.84,0.0,1696.84,Completed,400400.3,Insurance premium,1
155,TXN0000155,2024-04-17,20240417,44,30,9,1,Credit,14434.18,0.0,14434.18,Completed,1695728.07,Groceries,3
156,TXN0000156,2023-09-05,20230905,32,59,3,3,Debit,1338.14,1.2,1339.3400000000001,Completed,1164905.79,Insurance premium,3
157,TXN0000157,2024-01-04,20240104,60,52,7,3,Debit,317218.97,0.0,317218.97,Completed,497213.71,ATM cash,1
158,TXN0000158,2024-10-22,20241022,42,20,10,1,Debit,388707.25,0.0,388707.25,Completed,22085.0,Merchant txn,1
159,TXN0000159,2024-12-05,20241205,33,35,9,3,Credit,25060.03,0.0,25060.03,Completed,1001431.1,ATM cash,1
160,TXN0000160,2023-03-29,20230329,31,21,2,2,Debit,668.74,0.61,669.35,Completed,966369.07,Utility bill,1
161,TXN0000161,2023-11-04,20231104,29,38,8,2,Credit,318.95,0.0,318.95,Completed,1600300.2,EMI payment,3
162,TXN0000162,2024-07-27,20240727,12,40,9,1,Credit,2189.21,0.0,2189.21,Completed,1314958.51,Groceries,1
163,TXN0000163,2024-04-05,20240405,48,3,10,6,Debit,3001.8,0.0,3001.8,Completed,1617650.85,Bill payment,3
164,TXN0000164,2023-11-30,20231130,7,44,9,1,Credit,1065.66,0.0,1065.66,Failed,627494.82,Groceries,3
165,TXN0000165,2023-12-27,20231227,26,33,10,1,Debit,32781.32,0.0,32781.32,Completed,1229354.55,Bill payment,3
166,TXN0000166,2023-11-09,20231109,9,42,6,1,Debit,673.05,0.0,673.05,Completed,1150037.28,Groceries,1
167,TXN0000167,2024-10-22,20241022,32,59,9,4,Credit,4660.41,0.0,4660.41,Completed,1684128.44,Mutual fund SIP,1
168,TXN0000168,2024-05-11,20240511,56,60,6,6,Debit,769.02,0.0,769.02,Completed,1369708.64,Groceries,3
169,TXN0000169,2023-03-26,20230326,54,18,8,3,Credit,2870.45,0.0,2870.45,Completed,578051.95,Utility bill,3
170,TXN0000170,2023-04-26,20230426,48,3,8,3,Credit,294397.78,0.0,294397.78,Completed,1513815.7,Utility bill,3
171,TXN0000171,2024-10-31,20241031,14,12,7,1,Debit,3781.59,0.0,3781.59,Completed,1633640.44,Utility bill,1
172,TXN0000172,2024-08-25,20240825,50,7,4,1,Debit,3476.75,0.0,3476.75,Completed,1569913.77,EMI payment,1
173,TXN0000173,2024-09-03,20240903,37,26,6,3,Debit,2739.97,0.0,2739.97,Completed,1716175.67,Bill payment,1
174,TXN0000174,2023-10-11,20231011,49,25,7,6,Debit,4348.53,0.0,4348.53,Completed,1657135.12,Groceries,2
175,TXN0000175,2024-10-04,20241004,10,10,10,3,Debit,25339.63,0.0,25339.63,Completed,1031711.33,Merchant txn,3
176,TXN0000176,2024-05-14,20240514,60,52,6,3,Debit,5111.29,0.0,5111.29,Completed,917440.06,ATM cash,1
177,TXN0000177,2024-03-15,20240315,51,45,9,2,Credit,4141.75,0.0,4141.75,Completed,262057.91,Utility bill,2
178,TXN0000178,2024-10-03,20241003,58,56,1,1,Debit,25681.18,22.67,25703.85,Completed,1916105.51,EMI payment,3
179,TXN0000179,2023-11-06,20231106,59,43,3,6,Debit,46972.65,23.52,46996.17,Completed,1807696.74,Salary,1
180,TXN0000180,2023-08-28,20230828,26,33,5,4,Debit,2203.23,0.0,2203.23,Completed,1187765.31,Insurance premium,3
181,TXN0000181,2023-12-18,20231218,29,38,1,1,Debit,4103.83,0.58,4104.41,Completed,1461796.0,Bill payment,1
182,TXN0000182,2023-05-21,20230521,21,6,6,6,Debit,1975.33,0.0,1975.33,Completed,137754.8,Mutual fund SIP,1
183,TXN0000183,2023-08-07,20230807,40,41,3,2,Debit,11811.84,20.32,11832.16,Completed,201829.76,Bill payment,3
184,TXN0000184,2024-03-15,20240315,47,31,7,2,Debit,1641.07,0.0,1641.07,Completed,1200415.73,Mutual fund SIP,2
185,TXN0000185,2024-11-05,20241105,50,7,1,6,Debit,4391.55,3.44,4394.99,Completed,1567819.4,EMI payment,2
186,TXN0000186,2024-10-15,20241015,25,53,2,1,Debit,489963.63,915.18,490878.81,Completed,1721767.19,Mutual fund SIP,2
187,TXN0000187,2024-04-27,20240427,24,1,9,4,Credit,4776.82,0.0,4776.82,Completed,80613.9,Online transfer,2
188,TXN0000188,2024-05-28,20240528,33,35,5,3,Debit,3858.84,0.0,3858.84,Completed,306208.21,Bill payment,2
189,TXN0000189,2023-06-09,20230609,6,34,9,6,Credit,22582.92,0.0,22582.92,Completed,133164.05,Groceries,3
190,TXN0000190,2023-03-30,20230330,55,16,4,1,Debit,4630.68,0.0,4630.68,Completed,1316446.67,Salary,1
191,TXN0000191,2023-06-17,20230617,1,49,3,4,Debit,20601.73,10.68,20612.41,Completed,1499802.99,Merchant txn,3
192,TXN0000192,2023-01-31,20230131,57,48,2,5,Debit,1741.55,3.4,1744.95,Completed,992798.99,Insurance premium,2
193,TXN0000193,2023-06-20,20230620,4,57,8,6,Credit,1901.67,0.0,1901.67,Completed,457580.44,Insurance premium,1
194,TXN0000194,2024-04-28,20240428,3,24,1,1,Debit,130532.42,9.23,130541.65,Completed,1428327.58,Groceries,1
195,TXN0000195,2023-11-24,20231124,21,6,4,2,Debit,1429.16,0.0,1429.16,Completed,359509.36,Insurance premium,1
196,TXN0000196,2023-10-17,20231017,26,33,2,6,Debit,3890.28,2.87,3893.15,Completed,1569229.93,Mutual fund SIP,1
197,TXN0000197,2024-05-20,20240520,30,17,6,3,Debit,4989.16,0.0,4989.16,Completed,301982.19,Groceries,1
198,TXN0000198,2024-12-11,20241211,15,47,9,2,Credit,47794.56,0.0,47794.56,Completed,1454702.86,Bill payment,1
199,TXN0000199,2023-03-03,20230303,34,5,4,2,Debit,4865.54,0.0,4865.54,Completed,1691162.97,Groceries,3
200,TXN0000200,2023-03-28,20230328,58,56,6,3,Debit,2945.78,0.0,2945.78,Completed,125503.44,Salary,1
